Sl. No.,State/UT,Cases Pending Trial from the Previous Year - ( Col. 3),Cases Sent for Trial during the year - ( Col. 4),Total Cases for Trial (Col.3+Col.4) - ( Col. 5),Cases Abated by Court - ( Col. 6),Cases Withdrawn from Prosecution - ( Col. 7),Cases Compounded or Compromised - ( Col. 8),Cases Disposed off by Plea Bargaining - ( Col. 9),Cases Quashed - ( Col. 10),Cases Disposed off without trial (Col.6+Col.7+Col.8+Col.9+Col.10) - ( Col. 11),Cases Stayed or Sent to Record Room - ( Col. 12),Cases Convicted Out of Cases from Previous Year - ( Col. 13),Cases Convicted Out of Cases during the Year - ( Col. 14),Cases Convicted (Col.13+Col.14) - ( Col. 15),Cases Discharged - ( Col. 16),Cases Acquitted - ( Col. 17),Cases in which Trials were Completed (Col.15+Col.16+ Col.17) - ( Col. 18),Cases Disposed off by Courts (Col.11+Col.18) - ( Col. 19),Cases Pending Trial at End of the Year (Col.5-Col.19) - ( Col. 20),Conviction Rate (Col.15/Col.18) *100 - ( Col. 21),Pendency Percentage (Col.20/Col.5)*100 - ( Col. 22)
1,Andhra Pradesh,225109,145592,370701,957,57,42310,0,119,43443,29,10884,46694,57578,702,33499,91779,135222,235479,62.7,63.5
2,Arunachal Pradesh,27178,1328,28506,49,0,87,18,16,170,0,187,6,193,131,292,616,786,27720,31.3,97.2
3,Assam,321664,38510,360174,1588,48291,36776,3,1,86659,643,2507,1431,3938,407,21243,25588,112247,247927,15.4,68.8
4,Bihar,1582705,198069,1780774,0,0,772,821,2,1595,0,6787,581,7368,1058,8711,17137,18732,1762042,43.0,98.9
5,Chhattisgarh,229787,53748,283535,143,0,2735,3735,29,6642,99,5820,5828,11648,6741,20946,39335,45977,237558,29.6,83.8
6,Goa,15560,1506,17066,45,7,214,0,4,270,5,326,32,358,145,885,1388,1658,15408,25.8,90.3
7,Gujarat,1374935,149848,1524783,412,3121,271,0,52081,55885,24,53957,32582,86539,4742,95085,186366,242251,1282532,46.4,84.1
8,Haryana,258127,57009,315136,179,0,977,0,488,1644,198,8055,2340,10395,82,23218,33695,35339,279797,30.9,88.8
9,Himachal Pradesh,115213,11210,126423,87,454,1004,0,349,1894,6,1545,210,1755,21,4576,6352,8246,118177,27.6,93.5
10,Jharkhand,166651,33104,199755,121,1,262,4,0,388,0,4182,1618,5800,313,16336,22449,22837,176918,25.8,88.6
11,Karnataka,455294,124414,579708,1625,16,6055,7,207,7910,286,19321,20544,39865,171,70821,110857,118767,460941,36.0,79.5
12,Kerala,738578,243347,981925,885,191,751,0,1372,3199,1450,91467,100874,192341,465,23569,216375,219574,762351,88.9,77.6
13,Madhya Pradesh,1109492,249002,1358494,430,245,53687,10667,238,65267,1470,62080,19630,81710,17107,64438,163255,228522,1129972,50.1,83.2
14,Maharashtra,2128298,286189,2414487,1774,5004,14873,12,333,21996,0,25121,54043,79164,12309,69167,160640,182636,2231851,49.3,92.4
15,Manipur,5594,247,5841,28,0,0,0,2,30,0,14,0,14,3,24,41,71,5770,34.1,98.8
16,Meghalaya,13967,639,14606,46,7,19,3,0,75,7,231,12,243,200,323,766,841,13765,31.7,94.2
17,Mizoram,3167,2050,5217,39,0,88,0,0,127,10,795,1118,1913,27,72,2012,2139,3078,95.1,59.0
18,Nagaland,2381,501,2882,0,0,1,0,0,1,0,69,93,162,10,28,200,201,2681,81.0,93.0
